epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.78,1.13172,1.31421,1.17962,0.77064,0.68024,0.76501,0.58758,0.9398,0.79222,1.03808,8.33e-06,8.33e-06,8.33e-06
2,291.218,1.0866,1.1861,1.15725,0.75316,0.70192,0.77127,0.59477,0.93145,0.77839,1.03322,1.60829e-05,1.60829e-05,1.60829e-05
3,436.184,1.06119,1.01798,1.11883,0.77337,0.70647,0.77563,0.59907,0.92814,0.76887,1.03306,2.19507e-05,2.19507e-05,2.19507e-05
4,595.017,1.00124,1.01304,1.09831,0.78729,0.70433,0.78445,0.6078,0.92217,0.75422,1.02813,2.59337e-05,2.59337e-05,2.59337e-05
5,742.244,0.96312,0.91089,1.07422,0.78527,0.72361,0.79189,0.61557,0.91245,0.73626,1.01911,2.80316e-05,2.80316e-05,2.80316e-05
6,889.236,0.98295,0.91965,1.10345,0.80655,0.7382,0.80089,0.6246,0.90225,0.72598,1.01046,2.82447e-05,2.82447e-05,2.82447e-05
7,1034.99,0.93705,0.82252,1.05657,0.8048,0.75033,0.80556,0.63241,0.89357,0.71695,1.00521,2.65727e-05,2.65727e-05,2.65727e-05
8,1183.95,0.9665,0.8336,1.09656,0.81389,0.74954,0.80885,0.63742,0.88634,0.70476,0.99854,2.30158e-05,2.30158e-05,2.30158e-05
9,1297.92,0.92687,0.7875,1.05909,0.82106,0.75096,0.81769,0.64657,0.88308,0.69573,0.99562,1.75739e-05,1.75739e-05,1.75739e-05
10,1410.75,0.94784,0.78875,1.06536,0.82871,0.74446,0.81787,0.64712,0.88042,0.69098,0.99291,1.02471e-05,1.02471e-05,1.02471e-05
