epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.6343,1.20231,1.36398,1.23718,0.63891,0.544,0.60389,0.44271,1.0888,1.13252,1.12516,8.33e-06,8.33e-06,8.33e-06
2,209.67,1.1674,1.36977,1.19902,0.62784,0.56312,0.6183,0.45894,1.07801,1.1008,1.11673,1.60829e-05,1.60829e-05,1.60829e-05
3,316.807,1.17132,1.29054,1.1792,0.6068,0.57828,0.64112,0.47119,1.06908,1.08259,1.1102,2.19507e-05,2.19507e-05,2.19507e-05
4,424.913,1.14821,1.33805,1.17871,0.62521,0.60636,0.65809,0.48655,1.06077,1.06139,1.10543,2.59337e-05,2.59337e-05,2.59337e-05
5,528.009,1.12961,1.20451,1.17004,0.66675,0.59645,0.67091,0.49866,1.0537,1.03755,1.09871,2.80316e-05,2.80316e-05,2.80316e-05
6,633.54,1.12578,1.22267,1.19102,0.6924,0.59946,0.67988,0.50818,1.04753,1.01417,1.09447,2.82447e-05,2.82447e-05,2.82447e-05
7,740.029,1.06947,1.16997,1.14001,0.69997,0.59884,0.68874,0.51664,1.03857,0.99947,1.08884,2.65727e-05,2.65727e-05,2.65727e-05
8,848.419,1.09381,1.16444,1.17025,0.71987,0.60259,0.69764,0.52409,1.03334,0.98531,1.0853,2.30158e-05,2.30158e-05,2.30158e-05
9,956.538,1.10157,1.12215,1.15138,0.70547,0.6161,0.69963,0.52582,1.02624,0.97418,1.08161,1.75739e-05,1.75739e-05,1.75739e-05
10,1065.31,1.10735,1.12665,1.16178,0.70973,0.61806,0.70113,0.52833,1.02365,0.96859,1.08022,1.02471e-05,1.02471e-05,1.02471e-05
